SHAPE_AREA,LATITUDE,SQMI,GEOMETRY,CITY,OBJECTID,ZIPCODE,LONGITUDE,STATE,SHAPE_LENGTH
1097798529.09375,,37.79,,Capron,20018,61012,,IL,231973.8561406384
1871455961.203125,,64.62,,Chadwick,20019,61014,,IL,261870.30956921336
1393539147.4140625,,48.120000000000005,,Chana,20020,61015,,IL,194732.06308619026
827948379.9453125,,28.54,,Cherry Valley,20021,61016,,IL,177976.13756256335
2318739301.0546875,,80.51,,Galva,20022,61434,,IL,400176.21007423534
410664992.875,,14.27,,Gerlaw,20023,61435,,IL,131564.80390762817
1613713554.6640625,,56.13,,Gilson,20024,61436,,IL,364386.6225426757
1412004772.609375,,49.13,,Gladstone,20025,61437,,IL,159033.98760837916
1105140019.7070312,,38.51,,Good Hope,20026,61438,,IL,186640.58528017852
4034402.15625,,0.14,,Henderson,20027,61439,,IL,15962.844511792477
1311885080.6835938,,45.800000000000004,,Industry,20028,61440,,IL,194637.65072308158
1820672066.2890625,,63.550000000000004,,Ipava,20029,61441,,IL,319156.58361879206
704940168.7929688,,24.490000000000002,,Keithsburg,20030,61442,,IL,140295.43476089794
2580355355.59375,,89.53,,Kewanee,20031,61443,,IL,312397.8896577732
932476535.75,,32.44,,Kirkwood,20032,61447,,IL,156100.7787810437
1190432690.1328125,,41.4,,Knoxville,20033,61448,,IL,259405.63313670811
1083260503.2890625,,37.63,,La Fayette,20034,61449,,IL,166271.76052768365
1906423374.9882812,,66.45,,La Harpe,20035,61450,,IL,253246.8725768141
672661535.2578125,,23.39,,Laura,20036,61451,,IL,149350.84655512703
1046044374.4570312,,36.54,,Littleton,20037,61452,,IL,129306.61990052284
2417553070.158203,,79.95,,Missoula,20038,59803,,MT,320060.85852080287
2610214342.6816406,,86.24,,Missoula,20039,59804,,MT,300442.4697710737
4279363508.4296875,,141.18,,Missoula,20040,59808,,MT,361188.4421323902
3574322.986328125,,0.12,,Missoula,20041,59812,,MT,14150.719732111253
